iter	SMAPE	RMSE
289	33.14086334	5360.642613
290	33.14438787	5359.264759
291	33.13974058	5356.642326
292	33.09960403	5347.258228
293	33.15209028	5344.242059
294	33.14536068	5340.988925
295	33.14587686	5338.457479
296	33.1386573	5337.474885
297	33.12566189	5332.932249
298	33.12554896	5330.704369
299	33.17526799	5326.253314
300	33.21533848	5315.756603
301	33.21264034	5314.710356
302	33.197239	5313.178646
303	33.09839483	5308.84118
304	33.07876592	5307.096385
305	33.10766427	5303.824303
306	33.02109229	5296.204231
307	33.03341867	5287.450638
308	33.02724529	5286.026325
309	32.99441655	5274.48677
310	32.99682475	5272.714566
311	32.97736602	5270.608077
312	32.94955243	5265.603294
313	32.96107176	5264.142844
314	32.97105957	5263.255418
315	32.96822911	5259.068234
316	32.88481144	5247.481309
317	32.92850971	5244.117805
318	32.90495445	5239.598032
319	32.90257218	5238.373734
320	32.90194872	5235.079902
321	32.861557	5225.510681
322	32.82369039	5224.966192
323	32.80840316	5223.699101
324	32.79367248	5222.499998
325	32.77945722	5218.815837
326	32.77188528	5215.326854
327	32.56331551	5211.739618
328	32.62894413	5211.024152
329	32.63849814	5209.791764
330	32.63043489	5208.243765
331	32.61231399	5206.706024
332	32.58978563	5205.664003
333	32.61122221	5198.193566
334	32.60660609	5197.694421
335	32.60647823	5196.700661
336	32.60447787	5195.898627
337	32.5760598	5187.168164
338	32.57119634	5181.792965
339	32.56222802	5178.571148
340	32.388241	5174.033042
341	32.37327426	5168.612653
342	32.37236291	5166.387726
343	32.41888926	5164.726807
344	32.30369527	5159.902963
345	32.32802585	5156.24232
346	32.30748916	5153.948556
347	32.37175728	5152.528964
348	32.25651161	5145.146143
349	32.24767202	5142.638089
350	32.22457194	5139.567686
351	32.200446	5130.733265
352	32.09694455	5124.859733
353	32.05840706	5117.136578
354	32.0489236	5115.747489
355	32.10574307	5114.224986
356	32.08487367	5112.612824
357	32.08299608	5111.910963
358	32.0793321	5111.621458
359	32.01189935	5107.635744
360	32.03437105	5099.569092
361	32.06723563	5089.320834
362	31.96589356	5085.805918
363	32.02305947	5082.433861
364	32.02166066	5080.994209
365	32.01557844	5070.798737
